variables,units,values,description
ccblade.airfoils_cm,,"[[[[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  ...

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]]


 [[[-9.49690215e-05]
   [-9.49690215e-05]
   [-9.49690215e-05]]

  [[ 2.48279124e-03]
   [ 2.48279124e-03]
   [ 2.48279124e-03]]

  [[ 5.19547317e-03]
   [ 5.19547317e-03]
   [ 5.19547317e-03]]

  ...

  [[-6.70619854e-03]
   [-6.70619854e-03]
   [-6.70619854e-03]]

  [[-3.31630221e-03]
   [-3.31630221e-03]
   [-3.31630221e-03]]

  [[-9.49690215e-05]
   [-9.49690215e-05]
   [-9.49690215e-05]]]


 [[[-5.63075311e-05]
   [-5.63075311e-05]
   [-5.63075311e-05]]

  [[ 2.46473736e-02]
   [ 2.46473736e-02]
   [ 2.46473736e-02]]

  [[ 5.03411946e-02]
   [ 5.03411946e-02]
   [ 5.03411946e-02]]

  ...

  [[-6.30442303e-02]
   [-6.30442303e-02]
   [-6.30442303e-02]]

  [[-3.09341207e-02]
   [-3.09341207e-02]
   [-3.09341207e-02]]

  [[-5.63075311e-05]
   [-5.63075311e-05]
   [-5.63075311e-05]]]


 ...


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]]","moment coefficients, spanwise"
ccblade.airfoils_Re,,[ 3000000.  8100000. 10000000.],Reynolds numbers of polars
ccblade.Rhub,m,[3.97],hub radius
ccblade.Rtip,m,[120.97],tip radius
ccblade.rthick,,"[1.         0.98574825 0.86454545 0.68632751 0.5327892  0.45540856
 0.39835906 0.36233624 0.34602611 0.33536612 0.32534835 0.31640414
 0.30784348 0.29833481 0.28751318 0.27634816 0.26575714 0.25541929
 0.24561066 0.23638575 0.22613261 0.21694509 0.21151679 0.211
 0.211      0.211      0.211      0.211      0.211      0.211     ]",1D array of the relative thicknesses of the blade defined along span.
ccblade.precurve,m,"[ 0.00000000e+00  3.47038875e-02  8.35457789e-02  1.39221829e-01
  1.91620281e-01  2.32058151e-01  2.49748715e-01  2.49576780e-01
  2.46161255e-01  2.40468154e-01  2.32897670e-01  2.17967148e-01
  1.78171719e-01  1.00328504e-01  3.33661701e-04 -1.11956965e-01
 -2.43745733e-01 -4.15231916e-01 -6.20301885e-01 -8.46162280e-01
 -1.08028322e+00 -1.32984337e+00 -1.60241994e+00 -1.89518421e+00
 -2.20216882e+00 -2.52321796e+00 -2.86378033e+00 -3.22419386e+00
 -3.60472885e+00 -4.00000000e+00]",precurve at each section
ccblade.precurveTip,m,[-4.],precurve at tip
ccblade.presweep,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",presweep at each section
ccblade.presweepTip,m,[0.],presweep at tip
ccblade.hub_height,m,[150.],hub height
ccblade.precone,deg,[4.],precone angle
ccblade.tilt,deg,[6.],shaft tilt
ccblade.yaw,deg,[0.],yaw error
ccblade.rho,kg/m**3,[1.225],density of air
ccblade.mu,kg/(m*s),[1.81e-05],dynamic viscosity of air
ccblade.shearExp,,[0.2],shear exponent
ccblade.nBlades,Unavailable,3,number of blades
ccblade.nSector,Unavailable,4,number of sectors to divide rotor face into in computing thrust and power
ccblade.tiploss,Unavailable,TRUE,include Prandtl tip loss model
ccblade.hubloss,Unavailable,TRUE,include Prandtl hub loss model
ccblade.wakerotation,Unavailable,TRUE,"include effect of wake rotation (i.e., tangential induction factor is nonzero)"
ccblade.usecd,Unavailable,TRUE,use drag coefficient in computing induction factors
wt_class.V_mean_overwrite,,[0.],
wt_class.turbine_class,Unavailable,I,
re.r,m,"[  3.97         8.00448276  12.03896552  16.07344828  20.10793103
  24.14241379  28.17689655  32.21137931  36.24586207  40.28034483
  44.31482759  48.34931034  52.3837931   56.41827586  60.45275862
  64.48724138  68.52172414  72.5562069   76.59068965  80.62517241
  84.65965517  88.69413793  92.72862069  96.76310345 100.79758621
 104.83206896 108.86655172 112.90103448 116.93551724 120.97      ]",radial locations where blade is defined (should be increasing and not go all the way to hub or tip)
re.theta,deg,"[15.59455302 15.47354376 14.69202334 13.32989183 11.64438039  9.92652056
  8.43751963  7.30113552  6.23173745  5.22956466  4.34767577  3.60563665
  2.97818374  2.4229169   1.9236705   1.46745096  1.05645905  0.69247331
  0.35516691  0.01887675 -0.35797618 -0.83400414 -1.3743549  -1.84835858
 -2.13573852 -2.17177259 -2.10813766 -1.95257162 -1.66169228 -1.24238771]",Twist angle at each section (positive decreases angle of attack)
re.chord,m,"[5.2        5.22814651 5.32105729 5.45815745 5.60229318 5.71827031
 5.76707382 5.71284486 5.53647944 5.29094421 5.03450401 4.81470288
 4.62321904 4.43204464 4.24515221 4.06546765 3.89602837 3.73506076
 3.57914991 3.42460161 3.26800581 3.11191777 2.95713751 2.79989844
 2.6365298  2.46395353 2.28349782 2.09593192 1.90186155 0.5       ]",chord length at each section
re.precomp.pitch_axis,,"[0.50454545 0.47811289 0.4466621  0.41440788 0.38527947 0.35892959
 0.33856114 0.32527807 0.31667602 0.31090357 0.3068321  0.30294031
 0.29844865 0.2940508  0.2906606  0.28842919 0.28784247 0.28830607
 0.29012585 0.29321941 0.29724938 0.30201423 0.30725435 0.31257925
 0.31847554 0.32577906 0.33426195 0.34368536 0.35494244 0.36818182]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
re.precurve,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",precurve at each section
re.presweep,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",presweep at each section
re.precomp.coord_xy_interp,,"[[[ 1.00000000e+00 -5.22802288e-16]
  [ 9.99429684e-01 -2.22597407e-02]
  [ 9.98063018e-01 -4.44580349e-02]
  ...
  [ 9.98120489e-01  4.38394581e-02]
  [ 9.99443038e-01  2.19496514e-02]
  [ 1.00000000e+00 -5.26271735e-16]]

 [[ 1.00000000e+00 -6.87480483e-04]
  [ 9.97995325e-01 -2.21329444e-02]
  [ 9.95287771e-01 -4.42898977e-02]
  ...
  [ 9.96116321e-01  4.39547261e-02]
  [ 9.98446048e-01  2.23384031e-02]
  [ 1.00000000e+00  4.53190843e-04]]

 [[ 1.00000000e+00 -5.06686311e-03]
  [ 9.87290439e-01 -2.06650640e-02]
  [ 9.74485020e-01 -4.09513895e-02]
  ...
  [ 9.80691206e-01  4.44050796e-02]
  [ 9.90764824e-01  2.48148261e-02]
  [ 1.00000000e+00  3.95888749e-03]]

 ...

 [[ 1.00000000e+00 -3.71663624e-04]
  [ 9.76017568e-01  2.09740027e-03]
  [ 9.52031329e-01  3.99388323e-03]
  ...
  [ 9.52381403e-01  9.07315534e-03]
  [ 9.76165313e-01  4.93304949e-03]
  [ 1.00000000e+00  9.38336381e-04]]

 [[ 1.00000000e+00 -3.71663624e-04]
  [ 9.76017568e-01  2.09740027e-03]
  [ 9.52031329e-01  3.99388323e-03]
  ...
  [ 9.52381403e-01  9.07315534e-03]
  [ 9.76165313e-01  4.93304949e-03]
  [ 1.00000000e+00  9.38336381e-04]]

 [[ 1.00000000e+00 -3.71663624e-04]
  [ 9.76017568e-01  2.09740027e-03]
  [ 9.52031329e-01  3.99388323e-03]
  ...
  [ 9.52381403e-01  9.07315534e-03]
  [ 9.76165313e-01  4.93304949e-03]
  [ 1.00000000e+00  9.38336381e-04]]]",3D array of the non-dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations.
re.precomp.uptilt,deg,[6.],Nacelle uptilt angle. A standard machine has positive values.
re.precomp.web_start_nd,,"[[0.20528324 0.21266141 0.21943383 0.25994291 0.28359192 0.30417409
  0.32086533 0.33230842 0.34328936 0.34884204 0.35370651 0.36050778
  0.36615314 0.37069557 0.37676856 0.38139417 0.3839289  0.38686842
  0.38942458 0.39148926 0.39313945 0.39436874 0.39536045 0.39636902
  0.39747633 0.39847112 0.39975583 0.40172697 0.40432856 0.30906614]
 [0.20528324 0.21266141 0.21943383 0.20996669 0.23137132 0.25128194
  0.26723423 0.27733826 0.28560478 0.28841177 0.29020392 0.29344495
  0.29604043 0.29739576 0.29953754 0.30040135 0.29938818 0.29833865
  0.29654111 0.29409309 0.29064978 0.28631694 0.28134612 0.27583092
  0.26933903 0.26119142 0.25140289 0.23980942 0.22554246 0.30906614]]","2D array of the non-dimensional start point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
re.precomp.web_end_nd,,"[[0.70808026 0.7015685  0.70221711 0.67742964 0.67090328 0.66228308
  0.65517201 0.64995121 0.6429058  0.6411387  0.63894206 0.63425155
  0.63039001 0.6274223  0.62240778 0.61882955 0.61685129 0.61417289
  0.61198551 0.61029571 0.60861304 0.60727902 0.60659526 0.60628661
  0.60562734 0.60467168 0.60325687 0.60099768 0.59787946 0.69290016]
 [0.70808026 0.7015685  0.70221711 0.72816471 0.72425248 0.71587725
  0.70944897 0.70572178 0.70125052 0.70176809 0.7028199  0.70137289
  0.70057848 0.70060323 0.69937612 0.69960568 0.70125243 0.70259953
  0.70474469 0.70763366 0.71112528 0.71543085 0.72071701 0.72688632
  0.73373418 0.74177572 0.7512361  0.76228673 0.77575328 0.69290016]]","2D array of the non-dimensional end point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
re.precomp.layer_web,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 2. 2. 2.],"1D array of the web id the layer is associated to. If the layer is on the outer profile, this entry can simply stay equal to 0."
re.precomp.layer_thickness,m,"[[0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005    ]
 [0.05       0.04083949 0.03229024 0.02413744 0.01574086 0.00873885
  0.00473895 0.00314251 0.00230872 0.00203656 0.00200073 0.00200003
  0.002      0.002      0.002      0.002      0.002      0.002
  0.002      0.002      0.002      0.002      0.002      0.002
  0.00179079 0.00132102 0.00104293 0.00100141 0.001      0.001     ]
 [0.0001     0.00458621 0.0152522  0.03040319 0.04741029 0.06354902
  0.07610285 0.08316173 0.08932751 0.09446694 0.097625   0.09835284
  0.09736573 0.09510301 0.09225897 0.08925491 0.08635024 0.0832595
  0.07970991 0.07547437 0.06990189 0.06096827 0.04858105 0.03557957
  0.02481462 0.01778634 0.01195667 0.0069166  0.00333588 0.001     ]
 [0.0001     0.00458621 0.0152522  0.03040319 0.04741029 0.06354902
  0.07610285 0.08316173 0.08932751 0.09446694 0.097625   0.09835284
  0.09736573 0.09510301 0.09225897 0.08925491 0.08635024 0.0832595
  0.07970991 0.07547437 0.06990189 0.06096827 0.04858105 0.03557957
  0.02481462 0.01778634 0.01195667 0.0069166  0.00333588 0.001     ]
 [0.         0.         0.         0.00299507 0.00294581 0.00289655
  0.00284729 0.00279803 0.00274877 0.00269951 0.00265025 0.00260099
  0.00255172 0.00250246 0.0024532  0.00240394 0.00235468 0.00230542
  0.00225616 0.0022069  0.00215764 0.00210837 0.00205911 0.00200985
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.01518664 0.02662026 0.03834655
  0.04863026 0.05708607 0.06589988 0.07394841 0.07924569 0.08003539
  0.07539978 0.06541959 0.05373332 0.04290903 0.03356375 0.02376984
  0.01438179 0.00723847 0.00420409 0.0030288  0.00220799 0.0016398
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.05972906 0.0570197  0.05431034
  0.05160099 0.04889163 0.04618227 0.04347291 0.04076355 0.03805419
  0.03534483 0.03263547 0.02992611 0.02721675 0.02450739 0.02179803
  0.01908867 0.01637931 0.01366995 0.01096059 0.00825123 0.00554187
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.05972906 0.0570197  0.05431034
  0.05160099 0.04889163 0.04618227 0.04347291 0.04076355 0.03805419
  0.03534483 0.03263547 0.02992611 0.02721675 0.02450739 0.02179803
  0.01908867 0.01637931 0.01366995 0.01096059 0.00825123 0.00554187
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.05972906 0.0570197  0.05431034
  0.05160099 0.04889163 0.04618227 0.04347291 0.04076355 0.03805419
  0.03534483 0.03263547 0.02992611 0.02721675 0.02450739 0.02179803
  0.01908867 0.01637931 0.01366995 0.01096059 0.00825123 0.00554187
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.05972906 0.0570197  0.05431034
  0.05160099 0.04889163 0.04618227 0.04347291 0.04076355 0.03805419
  0.03534483 0.03263547 0.02992611 0.02721675 0.02450739 0.02179803
  0.01908867 0.01637931 0.01366995 0.01096059 0.00825123 0.00554187
  0.         0.         0.         0.         0.         0.        ]
 [0.05       0.04083949 0.03229024 0.02413744 0.01574086 0.00873885
  0.00473895 0.00314251 0.00230872 0.00203656 0.00200073 0.00200003
  0.002      0.002      0.002      0.002      0.002      0.002
  0.002      0.002      0.002      0.002      0.002      0.002
  0.00179079 0.00132102 0.00104293 0.00100141 0.001      0.001     ]
 [0.         0.         0.         0.00199391 0.00193306 0.00187221
  0.00181136 0.00175051 0.00168966 0.0016288  0.00156795 0.0015071
  0.00144625 0.0013854  0.00132454 0.00126369 0.00120284 0.00114199
  0.00108114 0.00102028 0.00095943 0.00089858 0.00083773 0.00077688
  0.00071602 0.00065517 0.00059432 0.00053347 0.         0.        ]
 [0.         0.         0.         0.04284584 0.04130426 0.03976268
  0.0382211  0.03667951 0.03513793 0.03359635 0.03205477 0.03051318
  0.0289716  0.02743002 0.02588844 0.02434686 0.02280527 0.02126369
  0.01972211 0.01818053 0.01663895 0.01509736 0.01355578 0.0120142
  0.01047262 0.00893103 0.00738945 0.00584787 0.         0.        ]
 [0.         0.         0.         0.00199391 0.00193306 0.00187221
  0.00181136 0.00175051 0.00168966 0.0016288  0.00156795 0.0015071
  0.00144625 0.0013854  0.00132454 0.00126369 0.00120284 0.00114199
  0.00108114 0.00102028 0.00095943 0.00089858 0.00083773 0.00077688
  0.00071602 0.00065517 0.00059432 0.00053347 0.         0.        ]
 [0.         0.         0.         0.00199391 0.00193306 0.00187221
  0.00181136 0.00175051 0.00168966 0.0016288  0.00156795 0.0015071
  0.00144625 0.0013854  0.00132454 0.00126369 0.00120284 0.00114199
  0.00108114 0.00102028 0.00095943 0.00089858 0.00083773 0.00077688
  0.00071602 0.00065517 0.00059432 0.00053347 0.         0.        ]
 [0.         0.         0.         0.04284584 0.04130426 0.03976268
  0.0382211  0.03667951 0.03513793 0.03359635 0.03205477 0.03051318
  0.0289716  0.02743002 0.02588844 0.02434686 0.02280527 0.02126369
  0.01972211 0.01818053 0.01663895 0.01509736 0.01355578 0.0120142
  0.01047262 0.00893103 0.00738945 0.00584787 0.         0.        ]
 [0.         0.         0.         0.00199391 0.00193306 0.00187221
  0.00181136 0.00175051 0.00168966 0.0016288  0.00156795 0.0015071
  0.00144625 0.0013854  0.00132454 0.00126369 0.00120284 0.00114199
  0.00108114 0.00102028 0.00095943 0.00089858 0.00083773 0.00077688
  0.00071602 0.00065517 0.00059432 0.00053347 0.         0.        ]]","2D array of the thickness of the layers of the blade structure. The first dimension represents each layer, the second dimension represents each entry along blade span."
re.precomp.layer_start_nd,,"[[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.1777357  0.18491285 0.18958426 0.2029196  0.22395485 0.24376247
  0.2596077  0.26952552 0.2773954  0.27989178 0.28119047 0.28393074
  0.28609374 0.28703052 0.28865691 0.28895996 0.28743732 0.28582543
  0.28347908 0.28032633 0.27617678 0.27112936 0.26543968 0.2591531
  0.25176977 0.24256273 0.23162535 0.22042303 0.22471037 0.16803069]
 [0.68053272 0.67381993 0.67236754 0.6704351  0.66376599 0.65495602
  0.64771862 0.64235409 0.63480357 0.6326144  0.62995689 0.62473812
  0.62043604 0.61702499 0.61149429 0.60743003 0.60493027 0.60166542
  0.59895464 0.59671005 0.59440797 0.59236083 0.59088487 0.58972549
  0.58806136 0.58586788 0.58305774 0.580868   0.59590554 0.55186471]
 [0.49999933 0.49990437 0.49942588 0.47069367 0.46970345 0.46909938
  0.46945804 0.46894869 0.46772704 0.46669745 0.46502958 0.46303614
  0.46156065 0.459899   0.45721069 0.45463374 0.45228235 0.44948052
  0.44640778 0.44326711 0.43972774 0.43666524 0.43569336 0.43611975
  0.49683998 0.49683998 0.49683998 0.49683998 0.49683998 0.49683998]
 [1.         1.         1.         0.96439246 0.96277762 0.96233895
  0.96180103 0.96080871 0.95884537 0.95698195 0.95474785 0.95222816
  0.95004424 0.94787041 0.94515087 0.94245286 0.93984952 0.93695322
  0.93393251 0.9307155  0.92709494 0.92312856 0.91890768 0.91433396
  1.         1.         1.         1.         1.         1.        ]
 [0.         0.         0.         0.03560754 0.03722238 0.03766105
  0.03819897 0.03919129 0.04115463 0.04301805 0.04525215 0.04777184
  0.04995576 0.05212959 0.05484913 0.05754714 0.06015048 0.06304678
  0.06606749 0.0692845  0.07290506 0.07687144 0.08109232 0.08566604
  0.         0.         0.         0.         0.         0.        ]
 [0.23283079 0.24040997 0.2492834  0.26701316 0.29095513 0.31155237
  0.32836584 0.34006984 0.35147374 0.35732427 0.36264434 0.36992005
  0.3760141  0.38086378 0.38738534 0.39254481 0.39570819 0.39930963
  0.40240057 0.40503843 0.4074059  0.40949796 0.41140585 0.41335197
  0.4155233  0.41777839 0.42046903 0.42237446 0.40681197 0.45010159]
 [0.49999933 0.49990437 0.49942588 0.52766573 0.52925926 0.52935707
  0.53057639 0.53165476 0.53357445 0.53552633 0.53743302 0.53947109
  0.54148986 0.54330634 0.5449693  0.54670916 0.54852312 0.55035537
  0.55211577 0.55411812 0.55620067 0.55785279 0.55805463 0.55756022
  0.49683998 0.49683998 0.49683998 0.49683998 0.49683998 0.49683998]
 [0.7356278  0.72931706 0.73206668 0.73452866 0.73076628 0.72274592
  0.71647675 0.71289842 0.70888191 0.71004689 0.71141077 0.71072744
  0.71035641 0.71085825 0.71022272 0.71101487 0.71320114 0.71514962
  0.71787612 0.72142215 0.72563709 0.73072943 0.73685104 0.74392436
  0.75181489 0.76108355 0.77190142 0.78281943 0.77800714 0.83393561]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]]","2D array of the non-dimensional start point defined along the outer profile of a layer. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each layer, the second dimension represents each entry along blade span."
